Date (date),State Name (state_name),District Name (district_name),Station Name (station_name),Latitude (latitude),Longitude (longitude),currentlevel,level_diff
2014-11-04,Andhra Pradesh,East Godavari,Bikkavolu,16.96111,82.04583,1.58,0.51
2015-01-04,Madhya Pradesh,Balaghat,Baghatola,21.39778,80.62694,1.9,0.06
2015-11-06,Odisha,Bargarh,Bheden 1,21.19611,83.75083,3.31,1.52
2021-01-09,Assam,Sonitpur,Bihupukhuri,26.74722,93.25,6.77,1.24
2019-05-27,Chhattisgarh,Raigarh,Gersa,22.34861,83.23667,6.85,0.93
2014-11-06,West Bengal,Paschim Bardhaman,Raniganj1,23.61278,87.12556,1.85,-0.27
2017-12-31,Andhra Pradesh,Sri Potti Sriramulu Nellore,Sangam,14.59389,79.75,0.73,-5.87
2016-01-04,Karnataka,Belagavi,Ankala Gudiketra,16.14,74.69,3.95,1.15
2020-09-23,Rajasthan,Alwar,RAMGARH1,27.58333,76.80972,16.72,-13.1
2015-01-04,Punjab,Hoshiarpur,Baichan-Pz,31.65139,75.7375,19.5,-0.2
2019-05-30,Delhi,South West,Shekhawati Line Pz,28.57833,77.10778,46.85,-0.12
2017-08-24,Rajasthan,Ajmer,SARWAD,26.05,75.0,3.45,1.35
2017-08-18,Tamil Nadu,Karur,Karur2,10.95833,78.08333,2.85,-2.8
2017-05-14,Rajasthan,Jaisalmer,GUDI KA TALA,26.7625,71.60417,4.93,0.83
2015-08-24,Tamil Nadu,Sivaganga,Devakottai1,9.95,78.66667,6.56,-1.11
2018-10-19,Haryana,Jhajjar,Nahar,28.47361,76.41667,23.3,-0.5
2015-05-14,Karnataka,Chitradurga,Eswaragere,14.025,76.74167,11.14,6.57
2017-05-14,Telangana,Nalgonda,Devarakonda,16.69111,78.91889,2.28,0.09
2018-01-09,Odisha,Jagatsinghapur,Kujang,20.31528,86.53333,3.38,2.55
2016-05-14,Uttar Pradesh,Pratapgarh,Lalganj2,25.93333,81.7,7.64,0.72
